sheet,row_number,pid,office_code_string,office_code,code_family,office_id,include_decision,reason
LRAE Annex 25,728,N65236-25-RFPREQ-LSUBP00009-0051,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,729,N65236-25-RFPREQ-LSUBP00009-0052,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,730,N65236-25-RFPREQ-LSUBP00009-0053,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,731,N65236-25-RFPREQ-LSUBP00009-0054,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,732,N65236-25-RFPREQ-LSUBP00009-0055,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,733,N65236-25-RFPREQ-LSUBP00009-0056,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,734,N65236-25-RFPREQ-LSUBP00009-0057,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,735,N65236-25-RFPREQ-LSUBP00009-0058,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,736,N65236-25-RFPREQ-LSUBP00009-0059,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,737,N65236-25-RFPREQ-LSUBP00009-0060,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,738,N65236-25-RFPREQ-LSUBP00009-0061,LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,LSUBP00009,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,739,N65236-25-RFPREQ-LSUBP00010-0046,LSUBP00010 - LSUBP00010 - FORCE PROTECTION SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00010,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,740,N65236-25-RFPREQ-LSUBP00023-0022,LSUBP00023 - LSUBP00023 - SPEC RECON SURVEIL & EXPLOIT DIV HD - NIWCLANT,LSUBP00023,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,741,N65236-25-RFPREQ-LSUBP00002-0014,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,742,N65236-25-RFPREQ-LSUBP00002-0015,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,743,N65236-25-RFPREQ-LSUBP00010-0049,LSUBP00010 - LSUBP00010 - FORCE PROTECTION SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00010,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,744,N65236-25-RFPREQ-LSUBP00010-0050,LSUBP00010 - LSUBP00010 - FORCE PROTECTION SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00010,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,745,N65236-25-RFPREQ-LSUBP00021-0071,LSUBP00021 - LSUBP00021 - EXPEDITIONARY INTEL SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00021,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,746,N65236-25-RFPREQ-LSUBP00021-0072,LSUBP00021 - LSUBP00021 - EXPEDITIONARY INTEL SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00021,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,747,N65236-25-RFPREQ-LSUBP00049-0053,LSUBP00049 - LSUBP00049 - S&T Division - NIWCLANT,LSUBP00049,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,748,N65236-25-RFPREQ-LSUBP00049-0054,LSUBP00049 - LSUBP00049 - S&T Division - NIWCLANT,LSUBP00049,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,749,N65236-25-RFPREQ-LSUBP00049-0055,LSUBP00049 - LSUBP00049 - S&T Division - NIWCLANT,LSUBP00049,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,750,N65236-25-RFPREQ-LSUBP00049-0056,LSUBP00049 - LSUBP00049 - S&T Division - NIWCLANT,LSUBP00049,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,751,N65236-25-RFPREQ-LSUBP00002-0019,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,752,N65236-25-RFPREQ-LSUBP00002-0020,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,753,N65236-25-RFPREQ-LSUBP00002-0021,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,754,N65236-25-RFPREQ-LSUBP00002-0022,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,755,N65236-25-RFPREQ-LSUBP00049-0057,LSUBP00049 - LSUBP00049 - S&T Division - NIWCLANT,LSUBP00049,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,756,N65236-25-RFPREQ-LSUBP00002-0024,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,757,N65236-25-RFPREQ-LSUBP00049-0058,LSUBP00049 - LSUBP00049 - S&T Division - NIWCLANT,LSUBP00049,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,758,N65236-25-RFPREQ-LSUBP00010-0069,LSUBP00010 - LSUBP00010 - FORCE PROTECTION SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00010,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,759,N65236-25-RFPREQ-LSUBP00002-0026,LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,LSUBP00002,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,760,N65236-25-RFPREQ-LBUSP00030-0013,LBUSP00030 - LBUSP00030 - NL-8.0 - NIWCLANT,LBUSP00030,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,761,N65236-25-RFPREQ-LSUBP00034-0019,LSUBP00034 - LSUBP00034 - SURFACE SHIP INTEGRATION DIV HEAD - NIWCLANT,LSUBP00034,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,762,N65236-25-RFPREQ-LSUBP00034-0022,LSUBP00034 - LSUBP00034 - SURFACE SHIP INTEGRATION DIV HEAD - NIWCLANT,LSUBP00034,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
