change,key,key_method,field,old_value,new_value,old_row,new_row,office
added,4723BK-25-RFPREQ-PAS-0007,pid,,,NIS MarchQ2FY25 Procurement (C),,9,PAS
removed,N00039-22-RFPREQ-5.0-0006,pid,,RMF Assessment Support Services (C),,371,,5.0
removed,N00039-22-RFPREQ-8.0-0002,pid,,Consolidated NAVWAR Mobility Contract (C),,398,,8.0
removed,N00039-22-RFPREQ-PEO-C4I-0014,pid,,PEO C4I Business Financial Mgmt (C),,414,,PEO-C4I
removed,N00039-22-RFPREQ-PMW-130-0009,pid,,N0003919D0034_N0003922F4027,,657,,PMW-130
removed,N00039-22-RFPREQ-PMW-150-0013,pid,,JPI FR (A3 Card),,162,,PMW-150
removed,N00039-22-RFPREQ-PMW-150-0017,pid,,MOS Mod BPA Call 5 (C),,156,,PMW-150
removed,N00039-22-RFPREQ-PMW-150-0019,pid,,MOS TC CPU Repair,,161,,PMW-150
removed,N00039-22-RFPREQ-PMW-740-0006,pid,,PEO C4I PMW 740 TAIWAN SHIP INSTALLATIONS (C),,632,,PMW-740
removed,N00039-22-RFPREQ-PMW-740-0012,pid,,Saudi Arabia/Oman CENTCOM Partner Network (C),,633,,PMW-740
removed,N00039-22-RFPREQ-PMW-750-0004,pid,,LHA 8 Shipboard Integration (C),,656,,PMW-750
removed,N00039-22-RFPREQ-PMW-790-0002,pid,,C4I Arsenal - New Procurement (C),,423,,PMW-790
removed,N00039-22-RFPREQ-PMW-790-0003,pid,,VIASAT TRANSEC VM300M DELIVERY ORDER (DOMESTIC) AWARD,,430,,PMW-790
removed,N00039-22-RFPREQ-PMW-790-0006,pid,,"VIASAT TRANSEC IDIQ Ceiling Increase, VM300M Card Pricing and FMS Modification",,432,,PMW-790
removed,N00039-22-RFPREQ-PMW-790-0017,pid,,VIASAT TRANSEC VM300M DELIVERY ORDER (INTERNATIONAL - AUS) AWARD,,431,,PMW-790
removed,N00039-22-RFPREQ-PMW-790-0034,pid,,Consumption-Based Procurement (C),,424,,PMW-790
changed,N00039-22-RFPREQ-PMW/A-170-0002,pid,procurement_method,,Sole Source,392,97,PMW/A-170
changed,N00039-22-RFPREQ-PMW/A-170-0002,pid,procurement_instrument,"""C"" Type Contract",Single-Award Indefinite-Delivery,392,97,PMW/A-170
changed,N00039-22-RFPREQ-PMW/A-170-0002,pid,solicitation_fy,FY23,FY25,392,97,PMW/A-170
changed,N00039-22-RFPREQ-PMW/A-170-0002,pid,solicitation_quarter,Q3,Q2,392,97,PMW/A-170
changed,N00039-22-RFPREQ-PMW/A-170-0002,pid,award_fy,FY24,FY25,392,97,PMW/A-170
changed,N00039-22-RFPREQ-PMW/A-170-0002,pid,award_quarter,Q3,Q4,392,97,PMW/A-170
removed,N00039-22-RFPREQ-PMW/A-170-0003,pid,,STtNG Phase III Production - Admin,,393,,PMW/A-170
