change,key,key_method,field,old_value,new_value,old_row,new_row,office
removed,k:09bd684ac4a9,title+office,,"LIPTM00119, IC IPT, LCC-19 ANN SCDs 10959 & 10960 PROCUREMENT, SEWP (C)",,574,,LSUBP00034
added,k:09eca8a356de,title+office,,,TACAMO TORFP 0006 HEMPSS ISEA Training Support (C),,771,NP-41100
added,k:09fed97a4e51,title+office,,,"LIPTM00455, TCIO, IDOPS SOFTWARE, SEWP (C)",,483,LSUBP00021
removed,k:0a2097734134,title+office,,Enterprise Network Cyber Defense,,664,,Cyber Defense
added,k:0a2e5d8dc095,title+office,,,"LIPTM00128, New Order, SOCS SATCOM, FY24 SDN-L FoS",,294,LSUBP00004
added,k:0a4166dff384,title+office,,,LIPTM00248 - AFLOAT SUB C4I IPT  -VA SCN 812-813 and CLB 827 FY24 Procurements - NEW SAC DO - CORPORATE PRODUCTION,,149,LSUBP00035
removed,k:0a4d8686fe3d,title+office,,PROGRAM MANAGEMENT ENGINEER SYSTEMS SUPPORT - SeaPort (C),,281,,LSUBP00021
added,k:0a524a33a684,title+office,,,"LIPTM00183, INIS IPT, OTP #4 MUOS",,306,LSUBP00023
removed,k:0a831fcdd773,title+office,,"LIPTM00119, IC IPT, CVN-75 DIAS2 PROCUREMENT, SEWP (C)",,554,,LSUBP00034
added,k:0a84efc3f8c4,title+office,,,COMMAND AND CONTROL PROCESSOR (C2P) SOFTWARE ENGINEERING SUPPORT (SES) (C),,743,NP-53000
removed,k:0aa5127e22b7,title+office,,"LIPTM00285 NAVALC2, MTC2 REAL TIME INNOVATIONS (RTI) SW RNWL, SEWP (C)",,99,,LSUBP00063
added,k:0acf2f099fef,title+office,,,USSPACECOM C2F AV Support,,813,NP-53600
added,k:0ae6c01e80d8,title+office,,,"LIPTM00119, IC IPT, LHD-8 ANN DIAS2 PROCUREMENT, SEWP (C)",,621,LSUBP00034
added,k:0af1552ec40b,title+office,,,NAVWAR 4.0 Logistics and Technical Support Services (FY28) (C),,195,4.0
added,k:0af834a6a1bf,title+office,,,"LIPTM00119, IC IPT, CVN-75 ANN SCD 28113 COPTs PROCUREMENT, SEWP (C)",,231,LSUBP00034
added,k:0af98daeb566,title+office,,,LIPTM00149 - ASE IPT - ASE-24-020 - SSEE Azure Test Equipment Keysight - SEWP V (C),,514,LSUBP00022
changed,k:0b6fef783a2b,title+office,procurement_method,,Sole Source,462,559,PMS-485
changed,k:0b6fef783a2b,title+office,solicitation_fy,,TBD,462,559,PMS-485
changed,k:0b6fef783a2b,title+office,solicitation_quarter,,TBD,462,559,PMS-485
changed,k:0bbaa11932ab,title+office,procurement_method,,Full and Open Competition,643,43,PMW-740
changed,k:0bbaa11932ab,title+office,contract_type,TBD,Fixed-Price,643,43,PMW-740
changed,k:0bbaa11932ab,title+office,procurement_instrument,Delivery Order/Task Order,Delivery Order/Task Order (not under Federal Supply Schedule Contract),643,43,PMW-740
changed,k:0bbaa11932ab,title+office,solicitation_fy,,TBD,643,43,PMW-740
changed,k:0bbaa11932ab,title+office,solicitation_quarter,,TBD,643,43,PMW-740
changed,k:0bbaa11932ab,title+office,follow_on_or_new,,New,643,43,PMW-740
added,k:0bd74645b47c,title+office,,,0231 ADNS Testing Support,,850,NP-41200
added,k:0be18f02b7db,title+office,,,LIPTM00229 - IUSS IPT - 300-24-918- MISC Hardware (Pope)-SEWP (C),,521,LSUBP00022
removed,k:0bf1c8e57401,title+office,,LIPTM00448-FMS KOREA CB-ISEA SUPPORT FOR GPNTS CASE # KS-P-LQI & NAVSSI CASE # KS-P-GRY-Nwachukwu0009-(WR Systems-NEW),,244,,LSUBP00016
removed,k:0c128727214c,title+office,,JPI FR (A3 Card),,162,,PMW-150
removed,k:0c1e45b9fbc5,title+office,,Integrated Voice Networks (Telephony),,681,,None
added,k:0c26bdf3b9f2,title+office,,,"LIPTM00307, DHRE IPT, DEFENSE HEALTH READINESS ENGINEERING SUPPORT II, NxG (C)",,587,LSUBP00009
added,k:0c4da7d85282,title+office,,,0247 CBISEA CAAS,,825,NP-41200
removed,k:0c4e8c85b081,title+office,,LIPTM00410 Enterprise Communications Infrastructure (ECI) Support - SeaPort (C),,138,,LSUBP00064
removed,k:0c7debbea65f,title+office,,LIPTM00248 - AFLOAT SUB C4I IPT - FY23 DIGITAL MODULAR RADIO (DMR)  NEW SAC DO - CORPORATE PRODUCTION,,532,,LSUBP00035
added,k:0cce825ab842,title+office,,,ESRP TO39 - Modernization Initiatives-2,,418,PMW/A-170
added,k:0ce82780fcf5,title+office,,,Personnel Accountability and Assessment (PAAS) Follow-On.,,111,NP-53400
added,k:0cf1df6e9ad5,title+office,,,Code 87 Security Support Service Follow-on (C),,764,NP-87000
added,k:0d1d5ff5c41d,title+office,,,LIPTM00229 - IUSS IPT - 300-24-915- Hardware (Lantiegne)-SEWP (C),,519,LSUBP00022
removed,k:0d4e6bf72f41,title+office,,"LIPTM00455-Terrestrial Collections and Identity Operations (TCIO), Marine Corps Variant (MCV) Fly Away Broadcast System ",,301,,LSUBP00021
removed,k:0d8e2ee04061,title+office,,Tactical Comand and Control Foreign Military Sales Engineering Technical Assistance (TAC-C2 FMS ETA),,706,,535
added,k:0d914690ec40,title+office,,,"LIPTM00285 NAVALC2 IPT, TACTICAL DATA LINKS, LMMT TECH REFRESH, SEWP (C)",,216,LSUBP00063
removed,k:0e7af70c33ce,title+office,,Philippines Basa Wing Operations Center (WOC) Phase 2 & 3 (C),,635,,PMW-740
added,k:0e7d2f1f87d9,title+office,,,"LIPTM00448-CONTROL DISPLAY UNIT (CDU), ENHANCED CONTROL DISPLAY UNIT (ECDU), AND SECONDARY CONTROL DISPLAY UNIT (SCDU) P",,151,LSUBP00016
removed,k:0e9cdedf399e,title+office,,"LIPTM00119, INTERIOR COMMUNICATIONS IPT, VIDEO FY23 SPARES, SEWP (C)",,542,,LSUBP00034
added,k:0eae623bd620,title+office,,,"LIPTM00248, Afloat Submarine C4I IPT_ CSRR Forklift and associated EQUIPMENT, SEWP (C)",,682,LSUBP00035
added,k:0ec63e023cdc,title+office,,,"LIPTM00485, Electronic Warfare Systems IPT, Corporate Production",,126,LSUBP00004
added,k:0ed86f4f9d0f,title+office,,,"LIPTM00415: OA-9277A Coupler and Power Supply FY24 Procurement, RF Products (SAC) - N6523621D4805",,167,LSUBP00016
added,k:0f311aed2025,title+office,,,Dessault DOD ESI (C),,753,NP-55300
changed,k:0f90c0ccf67b,title+office,procurement_method,,Full and Open Competition,173,63,PMW-750
changed,k:0f90c0ccf67b,title+office,procurement_instrument,Delivery Order/Task Order,Delivery Order/Task Order (not under Federal Supply Schedule Contract),173,63,PMW-750
changed,k:0f90c0ccf67b,title+office,solicitation_fy,,TBD,173,63,PMW-750
changed,k:0f90c0ccf67b,title+office,solicitation_quarter,,TBD,173,63,PMW-750
removed,k:0f95562a409d,title+office,,Naval Enterpise Networks Engineering Services,,737,,None
removed,k:0fa3496a76ec,title+office,,LIPTM00248 - Common Submarine Radio Room (CSRR) Advanced TDMA (Time Division Multiple Access) Interface Processor (ATIP),,510,,LSUBP00035
removed,k:108a9fdc1daf,title+office,,"LIPTM00321, C4I, NS IPT, CND NCDOC ORACLE EXADATA HW SUPPORT RENEWALS, SEWP (C)",,136,,LSUBP00024
added,k:108e3b2b84ec,title+office,,,Facilities Cable Plant (C),,673,LSUBP00083
added,k:10d09d8a9b95,title+office,,,"LIPTM00074, DHA/HSI IPT, 24-013 BNO for HPE/ARUBA OUTDOOR JIT & DHA GWLAN GATEWAY-SEWP (C)",,380,LSUBP00009
added,k:1133ce812a2d,title+office,,,19574 LIPTM00257 USS MOUNT WHITNEY (LCC 20) INSTALLATIONS,,121,LSUBP00057
added,k:11531badbcd2,title+office,,,LIPTM00156 - DCGS-N IPT - INSYTE ICOP PoR & SRF INSYTE - SEWP (C),,545,LSUBP00022
added,k:1186adb04031,title+office,,,ML2 DO# 24F4010,,423,PMA/PMW-101
changed,k:118b164bfd1d,title+office,solicitation_fy,,FY27,373,49,8.0
changed,k:118b164bfd1d,title+office,solicitation_quarter,,Q2,373,49,8.0
added,k:118dd15d1a15,title+office,,,SRT IDIQ,,851,NP-75600
removed,k:1197ea817bbf,title+office,,LIPTM00119-LPD-31 UVS CISCO EQUIPMENT-SEWP (C),,513,,LSUBP00034
added,k:11ba0ed4d642,title+office,,,50E CHENG Support Follow-On (C),,755,NP-50E00
added,k:11bc0f12d27e,title+office,,,Expeditionary Medical Unit (EMU)_New SeaPort TO (C),,766,NP-53600
added,k:121484ae2371,title+office,,,LIPTM00149 - ASE IPT - ASE-24-017 - SSEE Future Mission Module Sparing - SEWP V (C),,513,LSUBP00022
changed,k:123cea5b6253,title+office,procurement_method,,Full and Open Competition,460,40,PMS-485
changed,k:123cea5b6253,title+office,solicitation_fy,,TBD,460,40,PMS-485
changed,k:123cea5b6253,title+office,solicitation_quarter,,TBD,460,40,PMS-485
added,k:1245b5f5a068,title+office,,,0176  CBISEA CAAS DEVELOPMENT AND TESTING SUPPORT*,,824,NP-41200
added,k:125d4ac2714a,title+office,,,Network Integration Engineering Facility (NIEF) Production Svcs Follow-On Action (C),,726,NP-42100
removed,k:12869b08cc34,title+office,,LIPTM00004_ACC Long Lead Items_SEWP open (C),,475,,LSUBP00001
added,k:12ededcd590f,title+office,,,GPNTS FY24 Spares #2 Award and Fund (C),,75,PMW/A-170
added,k:132799aba458,title+office,,,NMT Bahrain - 5097 (C),,343,LSUBP00057
removed,k:13314ab65987,title+office,,Universal Naval Artificial Intelligence (AI) CORe eNvironment (UNACORN) Maritime Domain Awareness Cloud and Data Integra,,720,,535
removed,k:134121475c14,title+office,,"LIPTM00328, SUBMARINE WARFARE FEDERATED TACTICAL SYSTEMS IPT, RSA BUY, SEWP (C)",,578,,LSUBP00035
added,k:13519d92ed03,title+office,,,"Web App Transformation, Engineering and Refactoring Support (WATERS) (PPA 23-LSUBP00009-0012)",,141,LSUBP00009
removed,k:137003a783de,title+office,,LIPTM00455 TCS Optics Kit (C),,361,,LSUBP00021
removed,k:1373e5cb5e61,title+office,,Special Projects and Electronic Systems,,676,,None
removed,k:137f71a5e2cf,title+office,,18795 - CORN MOD LIPTM00256L,,440,,LSUBP00057
removed,k:138450cabe03,title+office,,"LIPTM00346, FIELDED GROUND SYSTEMS,USN) Tactical Vehicles FY23 - Vehicle Integration Kit (VIK) Engineering, Procurement,",,299,,LSUBP00007
removed,k:13b39279d5ad,title+office,,"LIPTM00455, Marine Corps Warfighting Lab (MCWL), MICROSOFT, ELA (C)",,352,,LSUBP00021
removed,k:13d59ae55723,title+office,,ESRP TO39 SMT FINAL PHASE,,223,,PMW/A-170
added,k:1485722b5b28,title+office,,,"LIPTM00455, TCIO USMC IDOPS FDS-MC DOOMEX Software, SEWP (C)",,349,LSUBP00021
removed,k:14afaa8e4ec9,title+office,,"LIPTM00444, TACNET Dep IPT, CANES POWER STRIPS, SEWP (C)",,366,,LSUBP00063
removed,k:15c4f56faa22,title+office,,"LIPTM00285 NAVALC2, GCCS-M SAPNS2 SYBASE SW RNWL, ESI (C)",,88,,LSUBP00063
added,k:15c7ea472201,title+office,,,PMW150-Ceiling increase + incremental funding (Fuse Task order 2),,424,PMW-150
added,k:160b2f503cae,title+office,,,MIDS-LVT Lot 25 Procurement Buy (C),,183,PMA/PMW-101
added,k:162449ec01d6,title+office,,,5084  LIPTM00426  C4ISR INSTALLATION & MODERNIZATION SUPPORT (C),,496,LSUBP00057
removed,k:163adb31ff43,title+office,,NSC2I TATS 8-13. (C),,176,,PMW-760
removed,k:163c482c8d5d,title+office,,"LBUSP00026, Shore C2ISR Dept, New SAC TO, MBAS II PM/FM/BA",,37,,LSUBP00002
added,k:16998c0a9797,title+office,,,TDL 0208 - Tactical Data Link (TDL) Training and Support for Australia Navy under FMS Case AT-P-GSU,,856,NP-41100
added,k:16f069649824,title+office,,,MAT Production and Sustainment,,463,PMW/A-170
removed,k:16fcc80a6e98,title+office,,LIPTM00454 - MCBOSS - THREADFIX RENEWAL - SEWP (C),,149,,LSUBP00064
added,k:16ff57e41edb,title+office,,,Fire Extinguishers IDIQ (C),,769,NP-83000
added,k:170d4ba56080,title+office,,,"LIPTM00328, SWFTS & CWITT IPT, DIGITAL DATA,ELECTRONIC TEST ANALYZER, SEWP (C)",,525,LSUBP00035
added,k:172759478fcc,title+office,,,LIPTM00149 - ASE IPT - ASE-24-025 - SSEE USCG Intellian - SEWP (C),,384,LSUBP00022
added,k:1728d70aa1bb,title+office,,,Navy Information Application Product Suite (NIAPS) Follow-On (C),,692,NP-53400
added,k:17928a4afe53,title+office,,,LIPTM00003_OS Upgrade XCVR System ECP_CMS (C),,575,LSUBP00001
removed,k:17a4850c510b,title+office,,LIPTM00395 - MULTI MEDIA  IPT - TPL 23-078/79 CMDIO-SEWP (C),,64,,LSUBP00002
removed,k:17ccff52fad5,title+office,,LIPTM00454 -MCBOSS - FORTIFY/WEBINSPECT RENEWAL- BPA ESI (C),,151,,LSUBP00064
added,k:17d15b131c57,title+office,,,"Handyman Follow-On, Tenant Improvement Support Services",,475,8.0
removed,k:186f24a9dbb5,title+office,,LIPTM00304-NAVIGATION SYSTEMS ENGINEERING AND TECHNICAL SUPPORT-Smith0004-(WR Systems-NEW),,251,,LSUBP00016
removed,k:186fc2aed753,title+office,,LIPTM00003_XCVR WIN11 Migration_ATC MAC (C),,610,,LSUBP00001
removed,k:18782c88fd01,title+office,,"LIPTM00476, NISE, 5G Bands for FRONTHAUL, GSA (C)",,631,,LSUBP00049
removed,k:18789e50ae9a,title+office,,"LIPTM00467, 83200 Facilities, Furniture and Chairs Inventory, GSA (C)",,106,,LSUBP00083
removed,k:18950e645424,title+office,,TCIO -- USMC Identity Operations Services - SeaPort TO (C),,278,,LSUBP00021
added,k:18c6f20c39c8,title+office,,,BrainGu SBIR Ph III,,420,DRPM-NOA
added,k:190f8e91784d,title+office,,,"LIPTM00214, C4I FMSIPT, RO-P-LAY/STT/BATS-D COMMS EQUP,SEWP (C)",,375,LSUBP00006
added,k:1930a2b8dc41,title+office,,,LIPTM00003_NVS/ASUP Follow-On_ATC MAC (C),,524,LSUBP00001
added,k:193a67c0cc45,title+office,,,"LIPTM00128, SDN Satellite Y-Power Cable Spares, USSOCOM Support, SEWP (C)",,632,LSUBP00004
removed,k:193c6350e996,title+office,,"LIPTM00336, Distributed Common Ground Surface System-MC, Camtasia SW, SEWP",,328,,LSUBP00021
added,k:1963362b5cd6,title+office,,,"LIPTM00468, NISE, LR-24-010 - C-ROC, WAM-V (PPA LSUBP00049-0299)",,283,LSUBP00049
removed,k:197867379142,title+office,,LIPTM00116-UCVS-IOR & ECR HW Procurement-SEWP (C),,566,,LSUBP00015
added,k:19993b460b7a,title+office,,,TO #0117 FRN-48 ECP 001 Kit Installation and kit Fabrication,,855,NP-41100
added,k:199cb2d78859,title+office,,,xDMS RFP 002 SCN DDG 138 189,,775,NP-55100
added,k:199ed5435c43,title+office,,,Precision Approach Radar (PAR) Support Services Follow-On Action,,809,NP-41100
added,k:199fd0551546,title+office,,,Shierra Hotel Aviation Readiness Program (SHARP) Follow-On (C),,736,NP-53400
added,k:19a4c329083d,title+office,,,"LIPTM00448-DDG 130 - DDG 139, LHA/LPD/CVN SCN LOE-KrisLambert00XX-(WR Systems-NEW)",,277,LSUBP00016
added,k:19dab062f7c4,title+office,,,"LIPTM00321, NSIPT, SENSOR 2 NCDOC CENTRAL SITE INDEXER/SUPPORT (HDD PROLIANT), SEWP (C)",,239,LSUBP00024
added,k:19dcd0cdc10f,title+office,,,WAN MAC (FY25) (C),,54,PMW-160
added,k:19ef0e1db069,title+office,,,"LIPTM00447, SECURE VOICE SOLUTIONS - ADNS, SPIRENT TESTCENTER GOLD AND C1 SUPPORT RENEWAL- SEWP (C)",,652,LSUBP00015
removed,k:19ef8d4c56e5,title+office,,LIPTM00229 - IUSS IPT - 300-23-926 - VIAVI Testers (Outlaw)-SEWP (C),,129,,LSUBP00022
removed,k:1a63f205c037,title+office,,"LIPTM00119, IC IPT, ANN DDG DIAS MATERIAL PROCUREMENT, SEWP (C)",,580,,LSUBP00034
removed,k:1ae1b84b2669,title+office,,SOLUTE SSCP PoP extension / ceiling increase,,183,,PMW-150
added,k:1b1ceb6888b8,title+office,,,"LIPTM00116-UCVS IPT-UC SYSTEMS ENGINEERING, TECHNICAL, INTEGRATION AND INFRASTRUCTURE SUPPORT-SEAPORT NXGEN (Base +4OYS)",,573,LSUBP00015
added,k:1b6ac38cd6c3,title+office,,,Navy Enterprise Resource Planning Technical Support Services - 2 (C),,170,Pf007NERP
added,k:1b8249e5045d,title+office,,,"LIPTM00074, DHA/HSI IPT, 24-011 COMBO BNOE/BNO MISC for EGLIN, EISENHOWER, STEWART, HURLBURT, DC TRIANGLE, PATRICK, & MI",,379,LSUBP00009
added,k:1bc7f1a64dff,title+office,,,"LIPTM00395, Multi-Media IPT, Large Contract, VTC/BDS/TELE/C5ISR (PPA XXX) (C)",,604,LSUBP00002
added,k:1bdf6092743b,title+office,,,LIPTM00116-UCVS IPT-CISCO PROCUREMENT-ESI SEWP (C),,209,LSUBP00015
removed,k:1c00e7f3ae3f,title+office,,LIPTM00304-CVN/LHA/LPD/FFG SCN-Lambert0011-(WR Systems-NEW),,246,,LSUBP00016
added,k:1c3d705401de,title+office,,,LIPTM00149 - ASE IPT - ASE-24-021 - SSEE CDE SONARSOURCE/SONARQUBE - SEWP V (C),,515,LSUBP00022
added,k:1c423c9fc153,title+office,,,ADNS Production MAC RFP #39 (C),,23,PMW-160
added,k:1c43491c51fd,title+office,,,"LIPTM00321, NSIPT, CNDTS SPVU NEW(V3) CISCO, CISCO ESI SEWP (C)",,234,LSUBP00024
removed,k:1c6b5e0a2b99,title+office,,"LIPTM00304-PNT Engineering, INFORMATION SECURITY / CYBERSECURITY AND TECHNICAL SUPPORT SERVICES-LeviWilliams-TO-22F0638-",,235,,LSUBP00016
added,k:1c6b797a7c0a,title+office,,,GIC TORFP 5076: Electronic Security Sytem Upgrade at 9TH MSC SAIPAN (C),,695,NP-42100
removed,k:1ca55c997a51,title+office,,CANES MAC- N0003923R9104 (C),,650,,PMW-160
added,k:1cd10045c972,title+office,,,"LIPTM00118, TNSS COALITION IPT, COALITION SYSTEMS NON-CISCO MATERIAL, SEWP (C)",,364,LSUBP00063
added,k:1cead615e7f5,title+office,,,0252   - Tactical Networks In-Service Engineering Agent (ISEA) Configuration Management (CM,,830,NP-41200
added,k:1d3dd1acec22,title+office,,,"LIPTM00328, CWITT/SWFTS IPT - USB Preamplifier, Hardware, SEWP (C)",,213,LSUBP00035
removed,k:1d9fc41ebd4d,title+office,,"LIPTM00336, DCGS-MC, Ansys, GSA (C)",,355,,LSUBP00021
added,k:1da7d7b87065,title+office,,,Engineering Services for MIDS_LVT(4) SN 3653 Chassis Spider Cable ERA,,479,PMA/PMW-101
