change,key,key_method,field,old_value,new_value,old_row,new_row,office
added,k:00c513210a21,title+office,,,Tactical Data Link (TDL) Capabilities Based In-Service Engineering Agent (CB-ISE) Follow-On Action (C),,729,NP-41100
added,k:00eaec5cedf9,title+office,,,LIPTM00241 - USCG IPT - L-3  Communications Corp - NICHE Contract (N65236-23-R-0052),,139,LSUBP00006
added,k:013797079dc0,title+office,,,LIPTM00116-UCVS IPT_Windows 11 Management Workstation Migration_SEWP (C),,394,LSUBP00015
removed,k:0168fe701783,title+office,,SATCOM,,682,,None
added,k:0171a3f413ec,title+office,,,0214 (ADNS) Post Installation Training (PIT),,845,NP-41200
added,k:01a4db68c230,title+office,,,"LIPTM00119, IC IPT, VIDEO ESB-7 SITE 300 PROCUREMENT, SEWP (C)",,680,LSUBP00034
added,k:01ebb50025bc,title+office,,,"Reverse Engineering, Science, and Technology for Obsolescence, Repair, and Evaluation (RESTORE) Laboratory Engineering S",,747,NP-43100
added,k:02073b243761,title+office,,,NIAPS Task Order LCS 38 Support,,835,NP-53400
added,k:0220a4bd8354,title+office,,,NMT Camp Roberts and Fort Buckner - 5094 (C),,342,LSUBP00057
removed,k:0283d3b95e78,title+office,,LIPTM00415-DDG-70/ 80 CU-2416A Antenna procurement- GSA Schedule (C),,258,,LSUBP00016
removed,k:0285b8e0d732,title+office,,FY 23 Special Operations Forces (SOF) Deployable Node-LITE (SDN-L) Family of Systems (FoS),,330,,LSUBP00004
added,k:0290f9cde779,title+office,,,LIPTM00107 - Naval Tactical Command Support System - NTCSS Development Hardware Support Renewal - NASA SEWP (C),,659,LSUBP00056
added,k:02e84fe2f3a7,title+office,,,SEAPORT TO - DEVELOPMENT INTEGRATION CERTIFICATION ENVIRONMENT (DICE) SERVICE CENTER (SC) SUPPORT (C),,738,NP-53000
removed,k:0362595bc674,title+office,,LIPTM00395 - MULTI MEDIA  IPT - TPL 23-091 CISCO-ESI (C),,58,,LSUBP00002
added,k:036fd1bccd2a,title+office,,,LIPTM00248 - AFLOAT SUB C4I IPT - FY24 KMI Kits and ADNS Kits - NEW SAC DO - CORPORATE PRODUCTION SAC N6523618D8014,,158,LSUBP00035
added,k:0376f7105986,title+office,,,Spanish (SP-B-WAZ) Conversion from LVT(2) to LVT(11),,427,PMA/PMW-101
added,k:03d6bf950608,title+office,,,"LIPTM00455, TCIO, Forensics Equip 4 for USMC POR, GSA (C)",,353,LSUBP00021
removed,k:0421f0ae7a50,title+office,,NAVWAR 6.0/5.0/FRD Professional Support Services (PSS) (C),,369,,6.0
added,k:0484c0c6b056,title+office,,,"PMW/A 170 Cybersecurity, Engineering, and Technical Support (C)",,198,PMW/A-170
changed,k:04c0b9607b1c,title+office,procurement_method,,Limited Source,474,140,LSUBP00001
changed,k:04c0b9607b1c,title+office,solicitation_fy,FY23,FY24,474,140,LSUBP00001
changed,k:04c0b9607b1c,title+office,solicitation_quarter,Q2,Q1,474,140,LSUBP00001
changed,k:04c0b9607b1c,title+office,award_quarter,Q1,Q4,474,140,LSUBP00001
removed,k:04eeb024a2af,title+office,,"LIPTM00328, C4I WEAPONS TEST TEAM (CWITT), HARDWARE SUPPORT, SEWP (C)",,552,,LSUBP00035
removed,k:05422caec827,title+office,,IT SUPPORT SERVICES (ITSS) - SeaPort (C),,34,,LSUBP00010
added,k:05492c02ce29,title+office,,,TO 0096 - MESG1+SMWDC+DDF+CNATT (C),,757,NP-56700
changed,k:05617ddbfc2b,title+office,contract_type,Fixed-Price,Cost-Reimbursement,463,462,PMS-485
changed,k:05617ddbfc2b,title+office,solicitation_fy,FY23,FY24,463,462,PMS-485
changed,k:05617ddbfc2b,title+office,solicitation_quarter,Q3,Q1,463,462,PMS-485
changed,k:05617ddbfc2b,title+office,award_quarter,Q3,Q4,463,462,PMS-485
removed,k:05733258c757,title+office,,LIPTM00480 - Naval Tactical Command Support System - NTCSS MFOM University Laptops - NASA SEWP (C),,585,,LSUBP00056
removed,k:05bf99a818e1,title+office,,LIPTM00128-SOCSDN_LAB MATERIAL_SEWP (C),,357,,LSUBP00004
changed,k:05d5b5dae4d9,title+office,procurement_method,Sole-Source,Sole Source,164,461,PMS-485
changed,k:05d5b5dae4d9,title+office,solicitation_fy,,FY24,164,461,PMS-485
changed,k:05d5b5dae4d9,title+office,solicitation_quarter,,Q3,164,461,PMS-485
changed,k:05d5b5dae4d9,title+office,award_quarter,Q2,Q4,164,461,PMS-485
added,k:05f53cc33847,title+office,,,"LIPTM00455, TCIO, TCS RADAR 2, SEWP (C)",,647,LSUBP00021
removed,k:06072b40430e,title+office,,LIPTM00448-CVN CLASS SNAIAS MANUAL REVISION-Limbaugh0006-(WR Systems-NEW),,253,,LSUBP00016
removed,k:061cbc2ca5c3,title+office,,"LIPTM00150, Expeditionary Signals Intelligence (SIGINT), CESAS ANSYS Renewal, GSA (C)",,349,,LSUBP00021
removed,k:063e2f61b6fb,title+office,,COMMAND AND CONTROL PROCESSOR (C2P) TEST ENGINEERING AND PROJECT MANAGEMENT SUPPORT,,721,,535
removed,k:0646112e529c,title+office,,LIPTM00003_Sunhillo_RICI-6000_GSA (C),,478,,LSUBP00001
removed,k:06502e4b5c55,title+office,,"LIPTM00476, NISE, SIA4 - GPS Simulator (RP-21-008), GSA (C)",,630,,LSUBP00049
removed,k:0658d23ac830,title+office,,Engineering Support for the Enterprise Communcation and Networks 553 Division,,736,,None
removed,k:0676bb572290,title+office,,Distributed Common Ground/Surface System – Marine Corps (DCGS-MC) Test and Evaluation Support Services - SeaPort (C),,283,,LSUBP00021
removed,k:067dc8414be6,title+office,,"LIPTM00119, IC IPT, LPD-29 IVN 12CK PROCUREMENT, SEWP (C)",,564,,LSUBP00034
removed,k:076bd1f9a206,title+office,,SATCOM CB-ISEA Antenna Restoration,,692,,None
removed,k:077401e9ebf4,title+office,,"LIPTM00248, Afloat Submarine C4I IPT_ CSRR MRTS MATERIALS-SEWP (C)",,571,,LSUBP00035
changed,k:0774cfc14e06,title+office,procurement_method,,Full and Open Competition,174,64,PMW-750
changed,k:0774cfc14e06,title+office,procurement_instrument,Delivery Order/Task Order,Delivery Order/Task Order (not under Federal Supply Schedule Contract),174,64,PMW-750
changed,k:0774cfc14e06,title+office,solicitation_fy,,TBD,174,64,PMW-750
changed,k:0774cfc14e06,title+office,solicitation_quarter,,TBD,174,64,PMW-750
changed,k:0774cfc14e06,title+office,award_quarter,Q1,Q2,174,64,PMW-750
added,k:07e820492c10,title+office,,,"LIPTM00107 - NAVAL-MAINTENANCE, REPAIR AND OVERHAUL - NMRO Development Dell Hardware Requirements - NASA SEWP (C)",,639,LSUBP00056
removed,k:0814e818f531,title+office,,LIPTM00226 - NAVAIR FMS TWN-23-3004 HELP DESK - SEWP (C),,23,,LSUBP00006
added,k:08390854da8f,title+office,,,"Maintenance Figure of Merit IPT, MFOM Test Operations and Support (C)",,589,LSUBP00056
added,k:083962037213,title+office,,,"LIPTM00074, DHA/HSI IPT, 24-019 CISCO BNO for WRNMMC, KUNSAN, and 25G MODULES FOR MULTIPLE SITES-SEWP (C)",,610,LSUBP00009
removed,k:0847ce57d7bc,title+office,,"LIPTM00120, SDRS IPT, UbE Lab Equipment, SEWP (C)",,262,,LSUBP00016
added,k:084a19e74359,title+office,,,"LIPTM00285 NAVALC2, GCCS-M POSTGRES SW RNWL, SEWP (C)",,506,LSUBP00063
removed,k:08572e6c726c,title+office,,"LIPTM00107 - Naval Tactical Command Support System - NTCSS Development Laptops, Servers, and Monitors - NASA SEWP (C)",,496,,LSUBP00056
removed,k:0872751a4e96,title+office,,LIPTM00106 - MAINTENANCE FIGURE OF MERIT - MFOM SAP Secure Product Support - SAP PUBLIC SERVICES ESI BPA (C),,494,,LSUBP00056
added,k:08c65449ae24,title+office,,,"LIPTM00478, CSSP, HP SUPPORT RENEWAL, SEWP (C)",,664,LSUBP00009
removed,k:08cc362c6700,title+office,,LIPTM00107 - Naval Tactical Command Support System - Embarcadero Software Support - NASA SEWP (C),,593,,LSUBP00056
removed,k:08d704283d24,title+office,,"Bahrain CENTCOM Partner Network Second FSR (FMS Case BA-P-GBM, A2))",,645,,PMW-740
removed,k:08ea66e1be4a,title+office,,Cross-Domain Solutions,,662,,None
added,k:08f2af080626,title+office,,,HEMPSS ISEA Contract (C),,698,NP-41100
removed,k:093d540e8756,title+office,,Deep Water Active (C),,458,,PMS-485
added,k:096d56eeb928,title+office,,,"LIPTM00321, NSIPT CND, CISCO MIGRATION RENEWALS, SEWP (NOT ON ESI) (C)",,241,LSUBP00024
added,k:097b838b79af,title+office,,,LIPTM00106 - MAINTENANCE FIGURE OF MERIT - MFOM Software Support Renewals - NASA SEWP (C),,675,LSUBP00056
removed,k:09879db70a5f,title+office,,LIPTM00395 - MULTI MEDIA  IPT - TPL 23-043  LPD 30 INSTALL  AUDIO VISUAL Material - SEWP (C),,68,,LSUBP00002
