sheet,row_number,record_key,pid,office_code_string,office_code,code_family,office_id,include_decision,reason
LRAE Annex 25,9,k:69cd6474df57,,PMW-740 - PMW-740 - NAVWAR,PMW-740,peo_program_office,pmw:740,included,"code resolves to pmw:740, a PEO C4I office (alias table)"
LRAE Annex 25,10,k:cb7a7ecead4f,,PMS-485 - PMS-485 - NAVWAR,PMS-485,navsea_program_office,pms:485,excluded,"code resolves to pms:485 (program_office), outside the PEO C4I portfolio"
LRAE Annex 25,11,k:4dafe38dd3f8,,PMW-740 - PMW-740 - NAVWAR,PMW-740,peo_program_office,pmw:740,included,"code resolves to pmw:740, a PEO C4I office (alias table)"
LRAE Annex 25,12,k:32c2012637eb,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,13,k:56701d2778bf,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,14,k:4a65a57736d1,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,15,k:f6d0582f2520,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,16,k:5de9e61f8195,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,17,k:d6ba4152bc69,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,18,k:4a89bfc831b9,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,19,k:fed1004fce03,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,20,k:2be1c455a1d0,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,21,k:35bde6be82c7,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
LRAE Annex 25,22,k:824356f352e5,,PMW-160 - PMW-160 - NAVWAR,PMW-160,peo_program_office,pmw:160,included,"code resolves to pmw:160, a PEO C4I office (alias table)"
