id,source_sha256,locator,release_date,kind
ev:lrae_navwar_2024-06:row9,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 9,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row11,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 11,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row12,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 12,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row13,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 13,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row14,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 14,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row15,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 15,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row16,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 16,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row17,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 17,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row18,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 18,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row19,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 19,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row20,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 20,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row21,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 21,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row22,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 22,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row23,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 23,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row24,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 24,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row25,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 25,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row26,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 26,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row27,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 27,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row28,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 28,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row29,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 29,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row30,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 30,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row33,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 33,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row35,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 35,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row36,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 36,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row37,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 37,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row38,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 38,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row39,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 39,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row41,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 41,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row42,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 42,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row43,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 43,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row44,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 44,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row45,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 45,2024-06-20,spreadsheet_row
ev:lrae_navwar_2024-06:row46,c327bcd3a34a642fe28df969a2a57ba97e3c92406500494894157f9a30133635,LRAE Annex 25!row 46,2024-06-20,spreadsheet_row
