id,need_id,identifier,identifier_type,as_stated,resolved_in_fpds,evidence_ref
pref:N0003919D0026,need:lrae_navwar_2024-06:k:2f847ef6ffa8,N0003919D0026,piid,N0003919D0026,yes,sha256:2fe7aff4a48196ac5e3909f384517be3b04492af75e9859fe30d19d57fd1d906
pref:N0003920D0060,need:lrae_navwar_2024-06:k:411e7e6cc90e,N0003920D0060,piid,N0003920D0060,yes,sha256:dd17d6705b12116766e78c11dfa400bac143491d2cdccfb7cd0c6039505e2bf3
pref:N0003921F3001,need:lrae_navwar_2024-06:k:4dafe38dd3f8,N0003921F3001,piid,N0017819D8453N0003921F3001,yes,sha256:1310f207aeff96d07fda67879e9e70901da14bc31b956d1844baa8a1cb522966
pref:N0017819D8453,need:lrae_navwar_2024-06:k:4dafe38dd3f8,N0017819D8453,piid,N0017819D8453N0003921F3001,yes,sha256:197f6545f8fb1e48cd256074a235ccc954cc50b20f5efbd5fe930b5a601d58cf
pref:N0003920D0025,need:lrae_navwar_2024-06:k:584a7904dade,N0003920D0025,piid,N0003920D0025,yes,sha256:106ededc9b638cef6c3515f7c6b5a3f9127b69425e90cd0ed80946b4ee2f854e
pref:N0003923F9009,need:lrae_navwar_2024-06:k:591df5a087ec,N0003923F9009,piid,N6600119D0019N0003923F9009,no,
pref:N6600119D0019,need:lrae_navwar_2024-06:k:591df5a087ec,N6600119D0019,piid,N6600119D0019N0003923F9009,no,
pref:N0003920C0013,need:lrae_navwar_2024-06:k:5cc5d31298b3,N0003920C0013,piid,N0003920C0013,no,
pref:N0003920F3015,need:lrae_navwar_2024-06:k:69cd6474df57,N0003920F3015,piid,N0017819D8470N0003920F3015,yes,sha256:959dd6d6a616dd1b126445c207ff80fc87aebcbdd6578d6c1fe0523f5ca32836
pref:N0017819D8470,need:lrae_navwar_2024-06:k:69cd6474df57,N0017819D8470,piid,N0017819D8470N0003920F3015,yes,sha256:30b089288ebd294fd7379d7e06cde16317f41927203e783280fdbaa137cb1981
pref:N0003920D0057,need:lrae_navwar_2024-06:k:6d751041f91b,N0003920D0057,piid,N0003920D0057,yes,sha256:c3e4025f2ac213388816d2705b59e2331b2efde6f1611dbcddf276e49e479618
pref:N0003921F3000,need:lrae_navwar_2024-06:k:85b8af71e495,N0003921F3000,piid,N0003921F3000,no,
pref:N0003921F3008,need:lrae_navwar_2024-06:k:8fc782e1984c,N0003921F3008,piid,N0017819D7983N0003921F3008,yes,sha256:0892bf909170897558a3213fe86f1cd07215a2ee435a99f6503754869a52ecef
pref:N0017819D7983,need:lrae_navwar_2024-06:k:8fc782e1984c,N0017819D7983,piid,N0017819D7983N0003921F3008,no,
pref:N0003917F3006,need:lrae_navwar_2024-06:k:920a99a67887,N0003917F3006,piid,N0003917F3006,no,
pref:N0003915D0042,need:lrae_navwar_2024-06:k:984b5a06f4f0,N0003915D0042,piid,N0003915D0042 and N0003915D0043,yes,sha256:bc9df90b22fbe4dd534c017ffe8bc178e04b474333d20fa19c4e0b50d1010d20
pref:N0003915D0043,need:lrae_navwar_2024-06:k:984b5a06f4f0,N0003915D0043,piid,N0003915D0042 and N0003915D0043,yes,sha256:dcac1fe2fbc341136745ef21707b3aa43eb74183a5c48ebadc7b911b04d003dd
pref:N0017819D7674,need:lrae_navwar_2024-06:k:a1be893c133f,N0017819D7674,piid,N0017819D7674 TO N0003920,yes,sha256:b700f76b3583bcc2b7f05ea8687ad386980e0e5ffab69c63ed7b09f81d4bef56
pref:N0003920F3016,need:lrae_navwar_2024-06:k:aa6719ae6ed7,N0003920F3016,piid,N0003920F3016,yes,sha256:0f110391debdb11c68432b98ccb0c2b019b3ff40a23dc634a3117770004f2271
pref:N0017819D7675,need:lrae_navwar_2024-06:k:b944ee7d2698,N0017819D7675,piid,N0017819D7675,yes,sha256:639f12a42cef83cca115e79eb7f5c85a35fd9df0ad3c1b233571bdf47a687f39
pref:N0003916C0050,need:lrae_navwar_2024-06:k:b9ec2de1ecaa,N0003916C0050,piid,N00039-16-C-0050,yes,sha256:0229a9640ee66cd74c7e15780168767a5cdef6aed6f327edd4acc98e80d875a9
pref:N0003920D0060,need:lrae_navwar_2024-06:k:bbbbdadb912e,N0003920D0060,piid,N0003920D0060,yes,sha256:dd17d6705b12116766e78c11dfa400bac143491d2cdccfb7cd0c6039505e2bf3
pref:N0003919F3501,need:lrae_navwar_2024-06:k:d2c268d861d3,N0003919F3501,piid,N0003919F3501,no,
pref:N0003920F3501,need:lrae_navwar_2024-06:k:d6524a55cb02,N0003920F3501,piid,N0017819D7933N0003920F3501,no,
pref:N0017819D7933,need:lrae_navwar_2024-06:k:d6524a55cb02,N0017819D7933,piid,N0017819D7933N0003920F3501,no,
pref:N0017819D7264,need:lrae_navwar_2024-06:k:dcd098b54b3b,N0017819D7264,piid,N0017819D7264,yes,sha256:202314b8c6b6fd6bd30bec03aec13fb6df3baf75d5879fe50250a18801104e07
pref:N0003920F3502,need:lrae_navwar_2024-06:k:e280f87d65ff,N0003920F3502,piid,N0003920F3502,yes,sha256:ef27acfd77488446d85c8b3b94d21875c49014b80680668fb53f72ed120ad6ee
pref:N0003921F3011,need:lrae_navwar_2024-06:k:ede782b4922c,N0003921F3011,piid,N0003921F3011,no,
pref:N0003918D0007,need:lrae_navwar_2024-06:k:ff1eef0b45bb,N0003918D0007,piid,N0003918D0007,no,
