id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2024-06:k:44b54f55c857,k:44b54f55c857,,Saudi Arabia/Oman CENTCOM Partner Network (C),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row56
need:lrae_navwar_2024-06:k:ede782b4922c,k:ede782b4922c,,MIDS Recompete/21F3011 Follow-On (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,Follow-on,N0003921F3011,2024-06-20,ev:lrae_navwar_2024-06:row58
need:lrae_navwar_2024-06:k:f1a7e85d188d,k:f1a7e85d188d,,OE-315 AIS Amplifier Procurement (C),pmw:770,PMW-770 - PMW-770 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row59
need:lrae_navwar_2024-06:k:d2c268d861d3,k:d2c268d861d3,,PMW 150 ILS Services (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,Follow-on,N0003919F3501,2024-06-20,ev:lrae_navwar_2024-06:row60
need:lrae_navwar_2024-06:k:ce4ef9fbe303,k:ce4ef9fbe303,,NSLC-A Communications System - Follow On Contract (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row61
need:lrae_navwar_2024-06:k:3c7b4a80ece2,k:3c7b4a80ece2,,CVN 75 RCOH RCS CSIF and Shipboard Integration (C),pmw:750,PMW-750 - PMW-750 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row62
need:lrae_navwar_2024-06:k:0f90c0ccf67b,k:0f90c0ccf67b,,CVN 75 RCOH SSES CSIF and Shipboard Integration (C),pmw:750,PMW-750 - PMW-750 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row63
need:lrae_navwar_2024-06:k:0774cfc14e06,k:0774cfc14e06,,CVN 75 RCOH DS Shipboard Integration (C),pmw:750,PMW-750 - PMW-750 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row64
need:lrae_navwar_2024-06:k:920a99a67887,k:920a99a67887,,Program Management Support Services (C),pmw:790,PMW-790 - PMW-790 - NAVWAR,N00039,Follow-on,N0003917F3006,2024-06-20,ev:lrae_navwar_2024-06:row66
need:lrae_navwar_2024-06:k:3e9fa206ec9c,k:3e9fa206ec9c,,NSC2I  FFG 63.  PHASE 2 & 3. (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row69
need:lrae_navwar_2024-06:k:56dc68b1fb4e,k:56dc68b1fb4e,,NSC2I.  T-AO 211-214. Phases 2-5 (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row70
need:lrae_navwar_2024-06:k:5c6d6f2a7e1c,k:5c6d6f2a7e1c,,DMR - HFDAG Prototype (OTA) (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row71
need:lrae_navwar_2024-06:k:6d751041f91b,k:6d751041f91b,,MIDS JTRS BASE IDIQ (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,Follow-on,N0003920D0057,2024-06-20,ev:lrae_navwar_2024-06:row72
need:lrae_navwar_2024-06:k:85b8af71e495,k:85b8af71e495,,SETA Recompete/21F3000 Follow-On (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,Follow-on,N0003921F3000,2024-06-20,ev:lrae_navwar_2024-06:row73
need:lrae_navwar_2024-06:k:d319a323324a,k:d319a323324a,,All SATCOM Multi Award Contract (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row74
need:lrae_navwar_2024-06:k:12ededcd590f,k:12ededcd590f,,GPNTS FY24 Spares #2 Award and Fund (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row75
need:lrae_navwar_2024-06:k:22859ac4a83d,k:22859ac4a83d,,UHF Antenna Alternative (CSO) (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row76
need:lrae_navwar_2024-06:k:d6524a55cb02,k:d6524a55cb02,,PMW-130 A&A Service RECOMPETE (C),pmw:130,PMW-130 - PMW-130 - NAVWAR,N00039,Follow-on,N0017819D7933 N0003920F3501,2024-06-20,ev:lrae_navwar_2024-06:row78
need:lrae_navwar_2024-06:k:3a2a8914007e,k:3a2a8914007e,,FSBS HPTE TT to SS Conversion (C),pmw:770,PMW-770 - PMW-770 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row79
need:lrae_navwar_2024-06:k:68d0ef530607,k:68d0ef530607,,NSC2I T-AGOS.  25 (Phase 1-5) and T-AGOS 26 (Phase 3-5) (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row86
need:lrae_navwar_2024-06:k:48bd7743c8ef,k:48bd7743c8ef,,NSC2I.  LSM 1 & 2 Phases 1-5 (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row90
need:lrae_navwar_2024-06:k:2b08f3142c80,k:2b08f3142c80,,MOS Mod with TTNT Production (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row95
need:lrae_navwar_2024-06:k:90cdabf2a618,k:90cdabf2a618,,Nites Next Follow-On Contract (C),pmw:120,PMW-120 - PMW-120 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row96
need:lrae_navwar_2024-06:k:d1f7e455df79,k:d1f7e455df79,,Integrated International Support Services (follow-on) (C),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,Follow-on,,2024-06-20,ev:lrae_navwar_2024-06:row171
need:lrae_navwar_2024-06:k:5e867534d271,k:5e867534d271,,C-SEA (C),peo:c4i,C4IEXEC - PEO C4I Front Office - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row172
need:lrae_navwar_2024-06:k:bcfe0d37e0e1,k:bcfe0d37e0e1,,PMW 150 NILE In-Service Support 6 contract (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row173
need:lrae_navwar_2024-06:k:787f403a8dfe,k:787f403a8dfe,,PMW 150 NILE next PSS contract (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row174
need:lrae_navwar_2024-06:k:296125450445,k:296125450445,,C2P TR BPA Call 4 (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row175
