id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0005,N00039-26-RFPREQ-PMA/PMW-101-0005,N00039-26-RFPREQ-PMA/PMW-101-0005,Front Office Contract Re-compete (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,Follow-on,N0017819D7675,2023-06-20,ev:lrae_navwar_2023-06:row28
need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0017,N00039-23-RFPREQ-PMA/PMW-101-0017,N00039-23-RFPREQ-PMA/PMW-101-0017,MIDS LVT IDIQ (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2023-06-20,ev:lrae_navwar_2023-06:row29
need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0018,N00039-23-RFPREQ-PMA/PMW-101-0018,N00039-23-RFPREQ-PMA/PMW-101-0018,LCM,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2023-06-20,ev:lrae_navwar_2023-06:row30
need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0017,N00039-22-RFPREQ-PMW-150-0017,N00039-22-RFPREQ-PMW-150-0017,MOS Mod BPA Call 5 (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2023-06-20,ev:lrae_navwar_2023-06:row156
need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0011,N00039-23-RFPREQ-PMW-150-0011,N00039-23-RFPREQ-PMW-150-0011,MOS Mod Production Follow On (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,Follow-on,,2023-06-20,ev:lrae_navwar_2023-06:row157
need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0016,N00039-23-RFPREQ-PMW-150-0016,N00039-23-RFPREQ-PMW-150-0016,C2P BPA Call 1 (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2023-06-20,ev:lrae_navwar_2023-06:row158
need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0026,N00039-23-RFPREQ-PMW-150-0026,N00039-23-RFPREQ-PMW-150-0026,JPI A8 Card Follow-on,pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,Follow-on,N0003920P0005,2023-06-20,ev:lrae_navwar_2023-06:row159
need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0035,N00039-23-RFPREQ-PMW-150-0035,N00039-23-RFPREQ-PMW-150-0035,"JPI Reflash, Repair, and Reconfiguration",pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2023-06-20,ev:lrae_navwar_2023-06:row160
need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0019,N00039-22-RFPREQ-PMW-150-0019,N00039-22-RFPREQ-PMW-150-0019,MOS TC CPU Repair,pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2023-06-20,ev:lrae_navwar_2023-06:row161
need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0013,N00039-22-RFPREQ-PMW-150-0013,N00039-22-RFPREQ-PMW-150-0013,JPI FR (A3 Card),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2023-06-20,ev:lrae_navwar_2023-06:row162
