id,need_id,identifier,identifier_type,as_stated,resolved_in_fpds,evidence_ref
pref:N0003916D0010,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0006,N0003916D0010,piid,N00039-16-D-0010,no,
pref:N0003918D0007,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0004,N0003918D0007,piid,N0003918D0007,no,
pref:N0003916C0050,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0021,N0003916C0050,piid,N00039-16-C-0050,yes,sha256:0229a9640ee66cd74c7e15780168767a5cdef6aed6f327edd4acc98e80d875a9
pref:N0003921F3011,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0010,N0003921F3011,piid,N0003921F3011,no,
pref:N0003920P0005,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0026,N0003920P0005,piid,N00039-20-P-0005,no,
pref:N0003921F3000,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0033,N0003921F3000,piid,N0003921F3000,no,
pref:N0003919F3501,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0040,N0003919F3501,piid,N0003919F3501,no,
pref:N0003919D0026,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0046,N0003919D0026,piid,"N0003919D0026
N0003919D0027
N0003919D0028
N0003919D0029",yes,sha256:2fe7aff4a48196ac5e3909f384517be3b04492af75e9859fe30d19d57fd1d906
pref:N0003919D0027,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0046,N0003919D0027,piid,"N0003919D0026
N0003919D0027
N0003919D0028
N0003919D0029",no,
pref:N0003919D0028,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0046,N0003919D0028,piid,"N0003919D0026
N0003919D0027
N0003919D0028
N0003919D0029",no,
pref:N0003919D0029,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0046,N0003919D0029,piid,"N0003919D0026
N0003919D0027
N0003919D0028
N0003919D0029",no,
pref:N0003918C0033,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0004,N0003918C0033,piid,N0003918C0033,no,
pref:N0003920C0013,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0034,N0003920C0013,piid,N0003920C0013,no,
pref:N0003917F3006,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-790-0021,N0003917F3006,piid,N0003917F3006,no,
pref:N6833522C0216,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0229,N6833522C0216,piid,N6833522C0216,no,
pref:N6833522C0473,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0255,N6833522C0473,piid,N6833522C0473,no,
pref:N0003919D0007,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-160-0001,N0003919D0007,piid,N0003919D0007,no,
pref:N0003920D0060,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0007,N0003920D0060,piid,"N0003920D0060
N0003920D0061
N0003920D0062
N0003920D0063
N0003920D0064",yes,sha256:dd17d6705b12116766e78c11dfa400bac143491d2cdccfb7cd0c6039505e2bf3
pref:N0003920D0061,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0007,N0003920D0061,piid,"N0003920D0060
N0003920D0061
N0003920D0062
N0003920D0063
N0003920D0064",no,
pref:N0003920D0062,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0007,N0003920D0062,piid,"N0003920D0060
N0003920D0061
N0003920D0062
N0003920D0063
N0003920D0064",yes,sha256:6025386a860ceb30fe8d968a6cae058bd8465f1656fafdfd2ce319940d010c07
pref:N0003920D0063,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0007,N0003920D0063,piid,"N0003920D0060
N0003920D0061
N0003920D0062
N0003920D0063
N0003920D0064",no,
pref:N0003920D0064,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0007,N0003920D0064,piid,"N0003920D0060
N0003920D0061
N0003920D0062
N0003920D0063
N0003920D0064",no,
pref:N0003920F3014,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-770-0009,N0003920F3014,piid,N0003920F3014,no,
pref:N0017819D7675,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0005,N0017819D7675,piid,N0017819D7675,yes,sha256:639f12a42cef83cca115e79eb7f5c85a35fd9df0ad3c1b233571bdf47a687f39
