id,source_sha256,locator,release_date,kind
ev:lrae_navwar_2025-06:row10,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 10,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row14,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 14,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row15,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 15,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row16,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 16,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row17,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 17,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row18,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 18,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row19,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 19,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row97,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 97,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row98,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 98,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row99,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 99,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row100,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 100,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row101,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 101,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row103,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 103,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row104,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 104,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row105,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 105,2025-06-19,spreadsheet_row
ev:lrae_navwar_2025-06:row106,697ec8c004d239aeffab654a35f3a46101d227435a6929e64fc9b57cc75b6b7e,LRAE Annex 25!row 106,2025-06-19,spreadsheet_row
