id,need_id,identifier,identifier_type,as_stated,resolved_in_fpds,evidence_ref
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0078:N0003921F4050,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0078,N0003921F4050,piid,N0003920D0062N0003921F4050,yes,sha256:c40cf4487ea3a99481811d1e5c86ede19a56f228e8df6127c3c9f1be8210d727
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0009:N0017819D7674,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0009,N0017819D7674,piid,N0017819D7674 TO N0003920,yes,sha256:b700f76b3583bcc2b7f05ea8687ad386980e0e5ffab69c63ed7b09f81d4bef56
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0015:N0003920D0025,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0015,N0003920D0025,piid,N0003920D0025,yes,sha256:106ededc9b638cef6c3515f7c6b5a3f9127b69425e90cd0ed80946b4ee2f854e
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-C4IEXEC-0014:N0003921F3014,need:lrae_navwar_2025-06:N00039-25-RFPREQ-C4IEXEC-0014,N0003921F3014,piid,N0017819D8856N0003921F3014,yes,sha256:55495daa1a6b931bd0389f2ec2ebde750760402a6dcbcbe513b4ebcaeaacdd00
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-C4IEXEC-0014:N0017819D8856,need:lrae_navwar_2025-06:N00039-25-RFPREQ-C4IEXEC-0014,N0017819D8856,piid,N0017819D8856N0003921F3014,yes,sha256:1ff5a045e8af1c83d3137354df9fd190f8cfe6286085b415214e7b9aa708ceba
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0129:N0003920D0057,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0129,N0003920D0057,piid,N0003920D0057N0003923F4013,yes,sha256:c3e4025f2ac213388816d2705b59e2331b2efde6f1611dbcddf276e49e479618
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0129:N0003923F4013,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0129,N0003923F4013,piid,N0003920D0057N0003923F4013,yes,sha256:1f57321b586ce01196f3919d07172992e40b76eace1f082585236b339c1edb63
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0130:N0003920D0058,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0130,N0003920D0058,piid,N0003920D0058N0003923F4019,yes,sha256:6b000d639293420dde9312d6f253a400cbe3f26f3a514dfa8034cb3ba7e83ad0
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0130:N0003923F4019,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMA/PMW-101-0130,N0003923F4019,piid,N0003920D0058N0003923F4019,yes,sha256:2cbc7a0162605ae6cc9dae417ba6c3720e2fd2a0ea005d249f3c58fc8c85b459
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-130-0015:N0003921P1004,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-130-0015,N0003921P1004,piid,N0003921P1004,yes,sha256:a8f7b5fe3f226dc5375548c71b2dc1bc722db1c40e007ebeb77e60011cbe285d
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0067:N0003922D1004,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0067,N0003922D1004,piid,N0003922D1004,yes,sha256:e85698be78c4a4b82d165c87494e416a1e20538fd8f2940a44b2f58dd5de2c16
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0072:N0003921F3016,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0072,N0003921F3016,piid,N0017819D7264N0003921F3016,yes,sha256:f70b13f34957cc6567ab5f109042436a9b65172534293e27332e757e22a9f48b
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0072:N0017819D7264,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0072,N0017819D7264,piid,N0017819D7264N0003921F3016,yes,sha256:202314b8c6b6fd6bd30bec03aec13fb6df3baf75d5879fe50250a18801104e07
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-770-0019:N0003921C5002,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-770-0019,N0003921C5002,piid,N0003921C5002,yes,sha256:91631618bc742b63def127d713d6bbe93e0994e3b54a449d11637bae45f7d90c
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0124:N0003924F7827,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0124,N0003924F7827,piid,NNG15SD71BN0003924F7827,yes,sha256:b6f4ce4795b7625565dfcea4606c447ea9cc806a86e52709acd2ccc7fc538356
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0124:NNG15SD71B,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0124,NNG15SD71B,piid,NNG15SD71BN0003924F7827,yes,sha256:9fe7f38dbef6588947f7e4fe6fb5933a1e241cd49e4ef68afb0a453dc8776a8b
