id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-740-0070,N00039-23-RFPREQ-PMW-740-0070,N00039-23-RFPREQ-PMW-740-0070,"EGYPTIAN Navy AINTS (EG-P-LGQ, A2) (C)",pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,New,,2025-06-19,ev:lrae_navwar_2025-06:row10
need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,RSNF inKSA Support Services (C4ISR) Upgrade and Refurbishment (C),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,Follow-on,N0017819D8470 N0003920F3015,2025-06-19,ev:lrae_navwar_2025-06:row14
need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,RSNF C4ISR Training Services III (C),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,Follow-on,N0017819D8453 N0003921F3001,2025-06-19,ev:lrae_navwar_2025-06:row15
need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-160-0001,N00039-25-RFPREQ-PMW-160-0001,N00039-25-RFPREQ-PMW-160-0001,ADNS Production MAC RFP #32 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,New,,2025-06-19,ev:lrae_navwar_2025-06:row16
need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0061,N00039-24-RFPREQ-PMW/A-170-0061,N00039-24-RFPREQ-PMW/A-170-0061,WAMS TO # 7 - MEO Development,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,,,2025-06-19,ev:lrae_navwar_2025-06:row17
need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0011,N00039-24-RFPREQ-PMW-770-0011,N00039-24-RFPREQ-PMW-770-0011,FSBS HPTE TT to SS Conversion (C),pmw:770,PMW-770 - PMW-770 - NAVWAR,N00039,New,,2025-06-19,ev:lrae_navwar_2025-06:row18
need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0170,N00039-24-RFPREQ-PMW/A-170-0170,N00039-24-RFPREQ-PMW/A-170-0170,UHF Antenna Alternative (CSO) (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2025-06-19,ev:lrae_navwar_2025-06:row19
need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,CBSP Engineering Services Sustainment,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,Follow-on,,2025-06-19,ev:lrae_navwar_2025-06:row97
need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0013,N00039-24-RFPREQ-PMW/A-170-0013,N00039-24-RFPREQ-PMW/A-170-0013,STtNG Phase III - Production (Base IDIQ),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2025-06-19,ev:lrae_navwar_2025-06:row98
need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,NMT-X - Follow-on,pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,Follow-on,N0003916C0050,2025-06-19,ev:lrae_navwar_2025-06:row99
